"","age_group","sex","miles","acc_inv"
"733","(21,80]","F","3","0"
"734","(18,21]","M","3","1+"
"735","(18,21]","F",NA,"0"
"736","(16,18]","M","3","1+"
"737","(16,18]","M","2","1+"
"738","(18,21]","F","3","0"
"739","(18,21]","M","1","0"
"740","(21,80]","F","3","0"
"741","(16,18]","M","2","0"
"742","(16,18]","F","2","0"
"743","(21,80]","M","1","1+"
"744","(18,21]","M",NA,"0"
"745","(21,80]","M","2","0"
"746","(21,80]","F","2","0"
"747","(16,18]","M","3","0"
"748","(21,80]","M","3","0"
"749","(18,21]","M",NA,"0"
"750","(18,21]","M","3","0"
"751","(18,21]","M","3","0"
"752","(16,18]","M",NA,"0"
"753","(18,21]","M","2","0"
"754","(21,80]","F","3","0"
"755","(16,18]","M","1","0"
"756","(18,21]","M","1","0"
"757","(21,80]","M","1","0"
"758","(21,80]","F","2","0"
"759","(18,21]","M","3","0"
"760","(21,80]","M","2","0"
"761","(18,21]","F","3","0"
"762","(21,80]","F","2","0"
"763","(16,18]","F",NA,"1+"
"764","(18,21]","F","2","0"
"765","(16,18]","F","3","0"
"766","(16,18]","F","3","0"
"767","(21,80]","F","2","0"
"768","(16,18]","M","3","0"
"769","(21,80]","F","3","0"
"770","(18,21]","M","3","0"
"771","(21,80]","F","1","0"
"772","(18,21]","F","3","0"
"773","(21,80]","F","3","0"
"774","(16,18]","M","3","0"
"775","(18,21]","M","2","0"
"776","(18,21]","M","2","0"
"777","(16,18]","F","2","0"
"778","(21,80]","M","2","0"
"779","(21,80]","F","3","0"
"780","(18,21]","F",NA,"0"
"781","(18,21]","F","3","0"
"782","(21,80]","M","2","0"
"783","(21,80]","M","3","0"
"784","(16,18]","M","2","0"
"785","(21,80]","F","3","0"
"786","(18,21]","M","3","0"
"787","(18,21]","F","3","0"
"788","(16,18]","F","2","0"
"789","(18,21]","F","3","0"
"790","(18,21]","M","3","0"
"791","(16,18]","M","2","0"
"792","(16,18]","F","2","0"
"793","(21,80]","F","3","0"
"794","(16,18]","F","3","0"
"795","(16,18]","F","3","0"
"796","(16,18]","M","3","0"
"797","(16,18]","M","2","0"
"798","(18,21]","F","3","0"
"799","(21,80]","M","3","0"
"800","(16,18]","F","2","0"
"801","(16,18]","F","3","0"
"802","(21,80]","F","2","0"
"803","(21,80]","F","3","0"
"804","(18,21]","M","2","0"
"805","(18,21]","F",NA,"0"
"806","(21,80]","F","3","0"
"807","(18,21]","F",NA,"0"
"808","(16,18]","M","2","0"
"809","(21,80]","F","2","0"
"810","(21,80]","F","3","0"
"811","(16,18]","M","3","0"
"812","(18,21]","F",NA,"0"
"813","(21,80]","F","2","0"
"814","(18,21]","M","2","0"
"815","(21,80]","F","3","0"
"816","(21,80]","F","3","0"
"817","(21,80]","F","3","0"
"818","(18,21]","F","3","0"
"819","(16,18]","F","3","0"
"820","(21,80]","M","2","0"
"821","(18,21]","M","3","0"
"822","(21,80]","F","2","0"
"823","(18,21]","F","2","0"
"824","(21,80]","F","2","0"
"825","(21,80]","F","3","0"
"826","(18,21]","F",NA,"0"
"827","(16,18]","M","2","0"
"828","(18,21]","M","3","0"
"829","(16,18]","M","3","0"
"830","(18,21]","F","2","0"
"831","(16,18]","F","2","0"
