"","sex","cohort","sent","wave1","wave2","wave3","wave4"
"429","F",13,1,1,0,NA,NA
"430","M",8,1,1,1,0,1
"431","F",14,0,0,0,NA,NA
"432","F",6,0,0,0,0,0
"433","F",8,0,0,0,0,0
"434","F",1,0,0,0,0,0
"435","M",1,0,0,0,0,0
"436","F",3,0,0,0,0,0
"437","M",7,0,0,0,0,0
"438","M",1,0,0,0,0,0
"439","M",7,0,0,0,0,0
"440","F",8,0,0,0,0,0
"441","M",15,0,0,0,NA,NA
"442","F",8,0,0,0,0,0
"443","F",3,0,0,0,0,0
"444","M",8,0,0,0,0,0
"445","F",2,0,0,0,0,0
"446","F",9,0,0,0,0,NA
"447","F",3,0,0,0,0,0
"448","F",5,1,1,1,1,1
"449","M",1,0,0,0,0,0
"450","F",1,0,0,0,0,0
"451","F",3,0,0,0,0,0
"452","M",2,0,0,0,0,0
"453","F",4,0,0,0,0,0
"454","M",15,0,0,0,NA,NA
"455","M",3,1,1,1,0,0
"456","M",1,0,0,0,0,0
"457","M",1,0,0,0,0,0
"458","F",2,0,0,0,0,0
"459","F",6,0,0,0,0,0
"460","F",3,0,0,0,0,0
"461","F",6,0,0,0,0,0
"462","M",1,1,1,1,1,1
"463","F",4,0,0,0,0,0
"464","F",1,0,0,0,0,0
"465","M",3,0,0,0,0,0
"466","M",3,0,0,0,0,0
"467","F",3,0,0,0,0,0
"468","F",6,0,0,0,0,0
"469","F",6,0,0,0,0,0
"470","F",5,0,0,0,0,0
"471","F",10,0,0,0,0,NA
"472","F",7,0,0,0,0,0
"473","M",8,0,0,0,0,0
"474","F",2,0,0,0,0,0
"475","M",16,1,0,0,NA,NA
"476","M",1,0,0,0,0,0
"477","M",1,0,0,0,0,0
"478","F",3,1,0,0,0,1
"479","F",3,0,0,0,0,0
"480","F",6,0,0,0,0,0
"481","F",10,0,0,0,0,NA
"482","M",1,0,0,0,0,0
"483","F",16,0,0,0,NA,NA
"484","M",6,0,0,0,0,0
"485","F",6,0,0,0,0,0
"486","F",4,0,0,0,0,0
"487","M",10,0,0,0,0,NA
"488","M",10,0,0,0,0,NA
"489","F",5,0,0,0,0,0
"490","M",3,0,0,0,0,0
"491","F",15,0,0,0,NA,NA
"492","M",13,0,0,0,NA,NA
"493","F",4,0,0,0,0,0
"494","F",2,0,0,0,0,0
"495","F",4,0,0,0,0,0
"496","F",6,0,0,0,0,0
"497","F",4,0,0,0,0,0
"498","M",1,0,0,0,0,0
"499","M",2,1,1,0,0,0
"500","F",3,0,0,0,0,0
"501","M",9,1,1,0,0,NA
"502","F",10,0,0,0,0,NA
"503","M",4,1,1,0,0,1
"504","F",1,0,0,0,0,0
"505","M",7,0,0,0,0,0
"506","F",15,0,0,0,NA,NA
"507","F",12,0,0,0,0,NA
"508","M",2,0,0,0,0,0
"509","M",3,0,0,0,0,0
"510","M",14,0,0,0,NA,NA
"511","F",8,0,0,0,0,0
"512","F",1,0,0,0,0,0
"513","M",13,1,0,0,NA,NA
"514","F",8,1,1,1,0,0
"515","F",3,0,0,0,0,0
"516","F",6,0,0,0,0,0
"517","F",7,0,0,0,0,0
"518","F",2,0,0,0,0,0
"519","F",10,0,0,0,0,NA
"520","F",4,0,0,0,0,0
"521","F",5,0,0,0,0,0
"522","M",7,1,0,0,0,0
"523","M",2,0,0,0,0,0
"524","F",5,0,0,0,0,0
"525","M",10,0,0,0,0,NA
"526","M",2,0,0,0,0,0
"527","F",3,0,0,0,0,0
"528","M",3,0,0,0,0,0
"529","F",2,0,0,0,0,0
"530","M",14,0,0,0,NA,NA
"531","F",1,0,0,0,0,0
"532","M",1,0,0,0,0,0
"533","M",6,0,0,0,0,0
"534","M",10,0,0,0,0,NA
"535","F",1,1,0,0,0,0
"536","M",4,0,0,0,0,0
"537","F",2,1,1,0,0,1
"538","M",2,0,0,0,0,0
"539","M",1,0,0,0,0,0
"540","F",5,1,1,1,1,1
"541","F",7,0,0,0,0,0
"542","F",1,0,0,0,0,0
"543","F",3,1,1,0,0,0
"544","M",4,0,0,0,0,0
"545","M",8,0,0,0,0,0
"546","F",1,0,0,0,0,0
"547","F",8,0,0,0,0,0
"548","F",6,0,0,0,0,0
"549","F",13,0,0,0,NA,NA
"550","M",5,0,0,0,0,0
