"","sex","ef_age","new_age","acc_inv"
"352","F","(18,22]","(19,33]","0"
"353","M","[16,18]","[16,19]","0"
"354","F","(18,22]","(19,33]","0"
"355","M","(18,22]","(19,33]","0"
"356","F","[16,18]","[16,19]","0"
"357","M","[16,18]","[16,19]","0"
"358","F","(18,22]","(19,33]","0"
"359","F","(18,22]","(19,33]","0"
"360","M","(18,22]","(19,33]","0"
"361","F","[16,18]","[16,19]","1+"
"362","M","(22,80]","(19,33]","0"
"363","F","(22,80]","(19,33]","0"
"364","F","(18,22]","[16,19]","0"
"365","M","(18,22]","(19,33]","1+"
"366","M","[16,18]","[16,19]","0"
"367","M","(18,22]","[16,19]","0"
"368","M","[16,18]","[16,19]","0"
"369","F","[16,18]","[16,19]","1+"
"370","F","[16,18]","[16,19]","0"
"371","F","[16,18]","[16,19]","0"
"372","M","[16,18]","[16,19]","0"
"373","F","[16,18]","[16,19]","0"
"374","M","[16,18]","[16,19]","1+"
"375","F","[16,18]","[16,19]","0"
"376","F","(22,80]","(19,33]","0"
"377","F","[16,18]","[16,19]","1+"
"378","F","[16,18]","[16,19]","0"
"379","M","[16,18]","[16,19]","0"
"380","F","[16,18]","[16,19]","0"
"381","M","[16,18]","[16,19]","0"
"382","M","(18,22]","[16,19]","0"
"383","F","[16,18]","[16,19]","0"
"384","M","[16,18]","[16,19]","0"
"385","M","[16,18]","[16,19]","0"
"386","F","(22,80]","(19,33]","0"
"387","M","[16,18]","[16,19]","0"
"388","F","[16,18]","[16,19]","0"
"389","F","[16,18]","[16,19]","0"
"390","F","(22,80]","(19,33]","0"
"391","M","(22,80]","(33,80]","0"
"392","F","[16,18]","[16,19]","0"
"393","M","[16,18]","[16,19]","0"
"394","F","(22,80]","(19,33]","0"
"395","F","(18,22]","(19,33]","1+"
"396","M","[16,18]","[16,19]","0"
"397","F","(22,80]","(33,80]","0"
"398","F","[16,18]","[16,19]","0"
"399","F","(22,80]","(33,80]","0"
"400","M","[16,18]","[16,19]","0"
"401","M","(22,80]","(19,33]","0"
"402","M","[16,18]","[16,19]","0"
"403","F","(22,80]","(19,33]","0"
