"","int_age","sex","freq","acc_inv"
"889",19,"M","3","0"
"890",18,"F","1","0"
"891",27,"F","3","0"
"892",18,"F","1","0"
"893",37,"M","2","0"
"894",18,"F","3","0"
"895",32,"F","2","0"
"896",19,"F","2","0"
"897",18,"F","1","0"
"898",18,"F","1","0"
"899",25,"F","1","0"
"900",20,"F","2","0"
"901",36,"M","3","0"
"902",28,"F","1","0"
"903",21,"M","1","0"
"904",25,"F","2","0"
"905",19,"M","3","0"
"906",25,"F","2","0"
"907",18,"F","1","0"
"908",18,"M","2","0"
"909",18,"F","2","0"
"910",17,"F","1","0"
"911",18,"F","1","0"
"912",18,"F","1","0"
"913",17,"M","2","0"
"914",19,"F","1","0"
"915",18,"F","1","0"
"916",17,"M","2","0"
"917",18,"F","1","0"
"918",24,"F","3","0"
"919",19,"F","3","0"
"920",18,"M","1","0"
"921",18,"M","2","0"
"922",18,"F","2","0"
"923",17,"M","1","0"
"924",41,"F","1","0"
"925",19,"M","1","0"
"926",28,"F","1","0"
"927",18,"F","2","0"
"928",17,"F","1","0"
"929",22,"F","3","0"
"930",17,"M","1","0"
"931",17,"M","1","1+"
"932",23,"M","1","0"
"933",18,"M","2","0"
"934",18,"M","1","0"
"935",48,"F","3","0"
"936",18,"F","2","0"
"937",29,"F","2","0"
"938",18,"M","1","0"
"939",19,"F","2","0"
"940",18,"M","1","0"
"941",19,"F","2","0"
"942",54,"F","3","0"
"943",18,"F","2","0"
"944",27,"F","2","0"
"945",22,"M","1","0"
"946",30,"M","2","0"
"947",20,"F","1","0"
"948",25,"F","2","0"
"949",52,"F","3","0"
"950",18,"F","1","0"
"951",18,"F","1","0"
"952",18,"F","1","0"
"953",18,"F","2","1+"
"954",18,"F","3","0"
"955",49,"F","1","0"
"956",22,"F","1","0"
"957",18,"M","2","0"
"958",19,"M","3","0"
"959",17,"M","2","0"
"960",28,"M","1","0"
"961",19,"F","1","0"
"962",34,"F","1","0"
"963",21,"F","1","0"
"964",34,"M","1","0"
"965",23,"M","3","0"
"966",20,"F","2","0"
"967",22,"F","1","0"
"968",18,"M","2","0"
"969",48,"M","1","0"
"970",18,"M","1","0"
"971",30,"F","2","0"
"972",18,"F","1","0"
"973",17,"M","1","1+"
"974",33,"F","1","0"
"975",19,"F","2","0"
"976",17,"M","2","0"
"977",17,"M","1","0"
"978",17,"M","2","0"
"979",26,"F","2","0"
"980",18,"F","1","0"
"981",23,"F","1","0"
"982",18,"M","1","0"
"983",58,"F","2","0"
"984",28,"M","1","0"
"985",26,"F","1","0"
"986",18,"F","1","0"
